restaurant_id,summary,nutrition_score
17715,"Restaurant: Moore’s Kitchen, Price Range: nan, Zip Code: 20002. Menu Categories: Bottled Beverages (9 items, avg price $2.43); Dessert (5 items, avg price $4.11); Healthy Choices (5 items, avg price $11.99); Sandwich Combo (4 items, avg price $11.74); Single Dishes (10 items, avg price $3.39); Wing Combo (4 items, avg price $19.74).",44
18827,"Restaurant: Rebel Margherita, Price Range: nan, Zip Code: 20009. Menu Categories: Build Your Own Bowl (1 items, avg price $8.39); Grains (5 items, avg price $14.33); Greens (6 items, avg price $14.97); Popular Items (10 items, avg price $14.43); Smoothie Bowls (6 items, avg price $11.95); Smoothies (10 items, avg price $11.65).",74
18831,"Restaurant: Wing Pop, Price Range: $, Zip Code: 20009. Menu Categories: Bundles (5 items, avg price $40.40); Drinks (1 items, avg price $4.50); Famous Wings (5 items, avg price $27.60); Picked for you (5 items, avg price $12.40); Snacks (6 items, avg price $4.58).",45
18835,"Restaurant: Royal Kabob, Price Range: $, Zip Code: 20009. Menu Categories: Appetizers (7 items, avg price $6.35); Beverages (8 items, avg price $2.59); Desserts (4 items, avg price $5.37); Pitas (4 items, avg price $8.49); Plates (8 items, avg price $15.49).",62
18839,"Restaurant: Potbelly Sandwich Shop (17th and Penn | 49), Price Range: $, Zip Code: 20006. Menu Categories: Chips + Sides (11 items, avg price $3.25); Cookies + Shakes  (10 items, avg price $4.54); Drinks (10 items, avg price $3.82); Pick-your-Pair (3 items, avg price $13.99); Picked for you (5 items, avg price $8.19); Salads (4 items, avg price $8.89); Sandwiches (16 items, avg price $8.15).",57
18841,"Restaurant: Haagen Dazs (Chinatown), Price Range: $$, Zip Code: 20001. Menu Categories: Beverages (1 items, avg price $2.75); Coffee Frappes (3 items, avg price $9.50); Dazzler Sundaes (9 items, avg price $10.73); Ice Cream Cups (25 items, avg price $7.65); Milkshakes (7 items, avg price $9.81); Packaged Ice Cream (2 items, avg price $12.45); Picked for you (5 items, avg price $11.35); Smoothies (5 items, avg price $9.90).",14
18842,"Restaurant: Sunoco (1442 U Street NW), Price Range: $, Zip Code: 20009. Menu Categories: Candy &amp; Gum (57 items, avg price $3.24); Canned Goods (5 items, avg price $3.61); Chips &amp; Crackers (29 items, avg price $2.19); Chocolate (36 items, avg price $2.56); Coffee &amp; Tea Drinks (11 items, avg price $2.82); Condiments &amp; Sauces (11 items, avg price $4.11); Cookies &amp; Sweet Treats (24 items, avg price $1.82); Energy &amp; Electrolyte Drinks (26 items, avg price $3.55); Household Items (1 items, avg price $11.49); Juice (4 items, avg price $2.79); Nutritional Bars (17 items, avg price $2.83); Other Groceries (11 items, avg price $2.17); Personal Care (13 items, avg price $5.88); Popcorn, Pretzels, Nuts, &amp; Jerky (19 items, avg price $4.42); Soda (28 items, avg price $2.87); Water (8 items, avg price $2.77).",12
18843,"Restaurant: Eatmore Fried Chicken, Price Range: $, Zip Code: 20010. Menu Categories: Breakfast (11 items, avg price $3.70); Burritos (2 items, avg price $6.49); Char Broiled Dishes (6 items, avg price $8.25); Fried Chicken Wings (2 items, avg price $5.50); Fried Seafood (1 items, avg price $6.50); Grilled Chicken Breast Dishes (3 items, avg price $6.49); Korean BBQ (1 items, avg price $9.99); Maekom and Sweet Soy Chicken (1 items, avg price $7.50); Sub Sandwiches (5 items, avg price $4.59).",24
18848,"Restaurant: Pinstripes (Georgetown), Price Range: $, Zip Code: 20007. Menu Categories: Chef's Entrees (1 items, avg price $32.00); Desserts (8 items, avg price $8.00); Gluten Friendly Menu (13 items, avg price $20.00); Kids Menu (8 items, avg price $10.25); Lunch Combo Meals (5 items, avg price $14.80); Other (2 items, avg price $0.50); Pastas (5 items, avg price $19.60); Picked for you (5 items, avg price $14.40); Pizzas &amp; Flatbreads (6 items, avg price $17.17); Salads &amp; Soup (7 items, avg price $14.86); Sandwiches (6 items, avg price $16.67); Saturday Brunch Desserts (3 items, avg price $8.00); Saturday Brunch Entrees (3 items, avg price $20.00); Saturday Brunch Salads (1 items, avg price $17.00); Saturday Brunch Sides (2 items, avg price $4.00); Sides (7 items, avg price $8.00); Starters (6 items, avg price $13.33).",58
18849,"Restaurant: Rajaji Curry House, Price Range: $$, Zip Code: 20008. Menu Categories: Accompaniments (8 items, avg price $4.08); Beverages (11 items, avg price $3.85); Chefs Special (2 items, avg price $15.45); Chicken Entrees (9 items, avg price $18.51); Desserts (5 items, avg price $4.62); Kids Menu (3 items, avg price $6.95); Lamb Entrees (6 items, avg price $18.78); Mughlai (5 items, avg price $19.15); Picked for you (5 items, avg price $10.61); Seafood (5 items, avg price $21.55); Special Tandoori Breads (6 items, avg price $5.31); Starters (9 items, avg price $7.17); Tandoori Breads (7 items, avg price $4.81); Tandoori Charcoal BBQ and Grill (10 items, avg price $20.45); Vegetarian Entrees (13 items, avg price $14.26); Wok Entrees (5 items, avg price $17.95).",42
18851,"Restaurant: Smoke &amp; Barrel, Price Range: $$$, Zip Code: 20009. Menu Categories: BBQ Plates (8 items, avg price $24.25); Desserts (3 items, avg price $5.67); Extra Housemade Sauces (6 items, avg price $1.00); Picked for you (5 items, avg price $19.80); Sandwiches (7 items, avg price $14.00); Sides (6 items, avg price $4.33); Starters (9 items, avg price $10.11).",58
18858,"Restaurant: Pizza and Calzone, Price Range: $, Zip Code: 20009. Menu Categories: Build Your Own (4 items, avg price $13.61); Calzones (1 items, avg price $9.75); Hand Tossed Pies (20 items, avg price $22.72); Lean and Green (3 items, avg price $7.33); Picked for you (5 items, avg price $19.49); Sides (Flip) (4 items, avg price $8.04); The Sweet Pot (1 items, avg price $3.55).",48
18859,"Restaurant: Pizza + Salad, Price Range: $, Zip Code: 20009. Menu Categories: Build Your Own Pie (1 items, avg price $20.99); Calzones (3 items, avg price $11.00); Hand Tossed Pies (24 items, avg price $21.57); Picked for you (5 items, avg price $18.64); Salads (8 items, avg price $8.62); Sides (4 items, avg price $8.49); The Sweet Spot (1 items, avg price $3.50).",68
18861,"Restaurant: District MeltHouse, Price Range: $, Zip Code: 20001. Menu Categories: Beer (2 items, avg price $5.50); Beverages (6 items, avg price $2.50); Cocktails (3 items, avg price $10.00); Kids (3 items, avg price $6.67); Melts (13 items, avg price $13.38); Picked for you (5 items, avg price $10.90); Soups &amp; Sides (11 items, avg price $4.64).",53
18864,"Restaurant: City Tap House - Dupont, Price Range: $, Zip Code: 20036. Menu Categories: Bar Favorites (12 items, avg price $12.31); Brick Oven Pizza (6 items, avg price $14.68); Desserts (3 items, avg price $10.75); Entrees (10 items, avg price $20.79); Picked for you (5 items, avg price $14.67); Salads And Bowls (7 items, avg price $13.37); Sandwiches (7 items, avg price $14.67); Soups (2 items, avg price $4.00).",68
18865,"Restaurant: 1914 by Kolben, Price Range: $, Zip Code: 20001. Menu Categories: Appetizers (5 items, avg price $7.69); BanhMi - Vietnamese Sandwich (5 items, avg price $8.03); Cafe (2 items, avg price $5.10); Picked for you (5 items, avg price $11.15); Rice and Noodles (4 items, avg price $14.68); Signature Drinks (3 items, avg price $5.97); Хоi - Sticky Rice  (2 items, avg price $8.25).",77
18866,"Restaurant: Flippin Pizza, Price Range: $, Zip Code: 20009. Menu Categories: (Flip) Sides (4 items, avg price $8.12); 10"" Gluten Friendly Pies (10 items, avg price $18.23); 10"" Hand Tossed Pies (11 items, avg price $17.96); 18"" Hand Tossed Pies (10 items, avg price $26.50); Build Your Own (2 items, avg price $11.10); Calzones (4 items, avg price $10.95); Lean and Green (4 items, avg price $8.75); Picked for you (5 items, avg price $17.71); Sips and Suds (2 items, avg price $5.25); The Sweet Spot (1 items, avg price $4.25).",34
18867,"Restaurant: Wagshal's on New Mexico, Price Range: $, Zip Code: 20016. Menu Categories: 10"" Signature Pizzas (9 items, avg price $12.89); Beverages (3 items, avg price $2.79); Burgers (4 items, avg price $11.88); Chips (12 items, avg price $2.25); Cold Sandwiches (30 items, avg price $11.62); Desserts (8 items, avg price $3.50); Empanadas (1 items, avg price $4.99); Hot Sandwiches (27 items, avg price $12.65); Make Your Own Sandwich (4 items, avg price $11.00); Picked for you (5 items, avg price $12.70); Roasted Chicken (3 items, avg price $11.00); Salad (7 items, avg price $14.18).",43
18870,"Restaurant: Eat Brgz, Price Range: nan, Zip Code: 20001-3716. Menu Categories: Build Your Own Brg (1 items, avg price $11.25); Kids Menu (3 items, avg price $7.67); Non-Alcoholic Beverages (8 items, avg price $3.35); Picked for you (5 items, avg price $8.59); Shakes (4 items, avg price $6.90); Side Sauces (11 items, avg price $1.05); Sides (3 items, avg price $5.03); Signature Brgz (7 items, avg price $11.25).",32
18875,"Restaurant: Chomper's Cheesesteaks, Price Range: $, Zip Code: 90804. Menu Categories: Beverages (2 items, avg price $3.39); Chomping Cheesesteaks Champ (6 items, avg price $11.49); Ice Ice Baby (3 items, avg price $9.52); Picked for you (5 items, avg price $9.85); Side To Side (2 items, avg price $6.54).",32
18878,"Restaurant: Pizza and Wings, Price Range: $, Zip Code: 20009. Menu Categories: 10"" Gluten Friendly Hand Tossed Pies (11 items, avg price $17.82); 10"" Hand Tossed Pies (11 items, avg price $17.73); 18"" Hand Tossed Pies (11 items, avg price $27.17); Build Your Own Calzone - Big (2 items, avg price $13.00); Build Your Own Pies (3 items, avg price $21.08); Calzones (1 items, avg price $11.00); Lean and Green (3 items, avg price $7.33); Picked for you (5 items, avg price $19.69); Sides (3 items, avg price $7.33); The Sweet Spot (1 items, avg price $4.25); Wings (1 items, avg price $11.00).",43
18879,"Restaurant: The Home Plate Cafe , Price Range: nan, Zip Code: 20008. Menu Categories: Bases Loaded Pizza (6 items, avg price $15.83); Burgers (2 items, avg price $18.00); Drinks (4 items, avg price $3.50); Picked for you (5 items, avg price $17.00); Signature Sauces (7 items, avg price $1.00); Signature Sides (4 items, avg price $5.00); Signature Stuffed Calzones (1 items, avg price $18.00); Starting Line Up (4 items, avg price $13.00); Triple Play Sliders (2 items, avg price $12.50).",53
18880,"Restaurant: Tazza Cafe, Price Range: nan, Zip Code: 20037. Menu Categories: Breakfast All Day (14 items, avg price $11.00); Chef Specialties (7 items, avg price $23.40); Chips (10 items, avg price $2.60); Drinks Cold (6 items, avg price $3.97); Fresh Homemade Soup  (3 items, avg price $6.50); Picked for you (5 items, avg price $16.64); Salads (9 items, avg price $16.61); Sandwiches (10 items, avg price $15.60); Small Plates (7 items, avg price $12.07); Wood Oven Pizza (15 items, avg price $15.86).",75
18886,"Restaurant: Nama Sushi - Washington, DC, Price Range: $, Zip Code: 20001. Menu Categories: Appetizer (7 items, avg price $9.57); Chef Wei Signature Sashimi Dish (4 items, avg price $20.00); Dessert (5 items, avg price $12.40); Drinks (4 items, avg price $3.00); Maki (12 items, avg price $13.42); Picked for you (5 items, avg price $13.00); Signature Maki Rolls (8 items, avg price $21.12); Sushi/Sashimi (20 items, avg price $12.15); Vegetarian Rolls (7 items, avg price $9.57); Vegetarian Sushi (2 items, avg price $5.00).",73
